# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1988:31	1988-01-14	sfs-1988-31	Förordning (1988:31) om tingsrätternas beredskap för prövning av häktningsfrågor m.m.
1988:313	1988-05-19	sfs-1988-313	Förordning (1988:313) med ändrade bestämmelser om övertagande av vissa statslån till bostadsbyggande m.m.
1988:314	1988-05-19	sfs-1988-314	Förordning (1988:314) med instruktion för statens industriverk
1988:315	1988-05-19	sfs-1988-315	Förordning (1988:315) med instruktion för Nämnden för hemslöjdsfrågor
1988:317	1988-05-19	sfs-1988-317	Förordning (1988:317) med instruktion för Domstolsverket
1988:318	1988-05-19	sfs-1988-318	Förordning (1988:318) med instruktion för Tjänsteförslagsnämnden för domstolsväsendet
1988:325	1988-05-19	sfs-1988-325	Förordning (1988:325) om vissa åtgärder med anledning av mellankommunala skatterättens avveckling;
1988:327	1988-05-26	sfs-1988-327	Fordonsskattelag (1988:327)
1988:328	1988-05-26	sfs-1988-328	Lag (1988:328) om fordonsskatt på utländska fordon
1988:336	1988-04-07	sfs-1988-336	Förordning (1988:336) om befrielse från och nedsättning av grekisk skatt för person med hemvist i Sverige
1988:339	1988-04-28	sfs-1988-339	Förordning (1988:339) med instruktion för Radionämnden
1988:340	1988-04-28	sfs-1988-340	Förordning (1988:340) med instruktion för Kabelnämnden och Närradionämnden
1988:341	1988-04-28	sfs-1988-341	Förordning (1988:341) med instruktion för Talboks- och punktskriftsbiblioteket
1988:342	1988-04-28	sfs-1988-342	Förordning (1988:342) med instruktion för arkivet för ljud och bild
1988:343	1988-05-19	sfs-1988-343	Förordning (1988:343) med instruktion för Rymdstyrelsen
1988:344	1988-05-19	sfs-1988-344	Förordning (1988:344) med instruktion för statens provningsanstalt;
1988:345	1988-05-19	sfs-1988-345	Förordning (1988:345) med instruktion för Granskningsnämnden för försvarsuppfinningar
1988:346	1988-05-19	sfs-1988-346	Förordning (1988:346) med instruktion för Patentbesvärsrätten
1988:347	1988-05-26	sfs-1988-347	Förordning (1988:347) med instruktion för Bergslags- delegationen
1988:348	1988-05-26	sfs-1988-348	Förordning (1988:348) med instruktion för televerket;
1988:349	1988-05-26	sfs-1988-349	/r1/ Förordning (1988:349) om belopp för år 1987 enligt 4 § förordningen (1983:944) om statsbidrag till social hemhjälp;
1988:350	1988-05-26	sfs-1988-350	Förordning (1988:350) om tillämpning av en konvention den 21 februari 1985 mellan Sverige och Luxemburg om social trygghet;
1988:351	1988-05-26	sfs-1988-351	/r1/ Lag (1988:351) om tillämpning av valutalagen (1939:350);
1988:360	1988-06-02	sfs-1988-360	Lag (1988:360) om handläggning av ärenden om bilstöd till personer med funktionshinder
1988:364	1988-05-26	sfs-1988-364	/r1/ Förordning (1988:364) med instruktion för importkontoret för u-landsprodukter;
1988:365	1988-05-26	sfs-1988-365	Förordning (1988:365) med instruktion för affärsverket FFV
1988:366	1988-05-26	sfs-1988-366	Förordning (1988:366) med instruktion för domänverket
1988:367	1988-05-26	sfs-1988-367	Förordning (1988:367) med instruktion för Sveriges geologiska undersökning
1988:368	1988-05-26	sfs-1988-368	Förordning (1988:368) med instruktion för Bergsstaten
1988:369	1988-05-26	sfs-1988-369	Förordning (1988:369) med instruktion för sprängämnesinspektionen;
1988:370	1988-05-26	sfs-1988-370	Förordning (1988:370) med instruktion för Nämnden för statens gruvegendom;
1988:371	1988-05-26	sfs-1988-371	Förordning (1988:371) med instruktion för delegationen för samordning av havsresursverksamheten
1988:372	1988-05-19	sfs-1988-372	Förordning (1988:372) om bidrag till åtgärder mot radon i egnahem
1988:374	1988-05-26	sfs-1988-374	Förordning (1988:374) om statsbidrag till ungdomsorganisationer;
1988:377	1988-04-28	sfs-1988-377	Förordning (1988:377) om statliga myndigheters skyldighet att leverera skrifter till Kungl. biblioteket och Riksdagsbiblioteket
1988:400	1988-05-26	sfs-1988-400	Förordning (1988:400) om tillsynsmyndighet i konkurs
1988:403	1988-06-02	sfs-1988-403	Förordning (1988:403) med instruktion för Patent- och registreringsverket
1988:404	1988-06-02	sfs-1988-404	Förordning (1988:404) med instruktion för styrelsen för teknisk utveckling
1988:406	1988-06-02	sfs-1988-406	/r1/ Förordning (1988:406) om försöksverksamhet med bidrag till omplantering av skog som skadats av älg;
1988:411	1988-05-26	sfs-1988-411	/r1/ Förordning (1988:411) om tillsättning av vissa tjänster vid karolinska institutet;
1988:429	1988-05-26	sfs-1988-429	Förordning (1988:429) med instruktion för Migrationsverket
1988:46	1988-01-28	sfs-1988-46	Lag (1988:46) om revision av riksdagens förvaltning och riksdagens myndigheter m.m.
1988:49	1988-01-28	sfs-1988-49	Fartygssäkerhetslag (1988:49)
1988:490	1988-05-26	sfs-1988-490	/r1/ Förordning (1988:490) om statens utlåningsränta och statens avkastningsränta under budgetåret 1988/89;
1988:491	1988-05-05	sfs-1988-491	Lag (1988:491) om skatteutjämningsbidrag
1988:494	1988-05-05	sfs-1988-494	Förordning (1988:494) om skatteutjämningsbidrag
1988:502	1988-06-02	sfs-1988-502	/r1/ Förordning (1988:502) med instruktion för centrala studiestödsnämnden;
1988:512	1988-05-26	sfs-1988-512	/r1/ Förordning (1988:512) om interkommunal ersättning för elever i grundskolan och gymnasieskolan under vårterminen 1989 och höstterminen 1989;
1988:518	1988-06-02	sfs-1988-518	Förordning (1988:518) med instruktion för Naturvårdsverket
1988:519	1988-06-02	sfs-1988-519	Förordning (1988:519) med instruktion för Oljekrisnämnden
1988:520	1988-06-02	sfs-1988-520	Förordning (1988:520) med instruktion för Elförsörjningsnämnden
1988:521	1988-06-02	sfs-1988-521	Förordning (1988:521) med instruktion för Bränslenämnden
1988:522	1988-06-02	sfs-1988-522	Förordning (1988:522) med instruktion för energiforskningsnämnden
1988:523	1988-06-02	sfs-1988-523	Förordning (1988:523) med instruktion för statens kärnkraftinspektion
1988:524	1988-06-02	sfs-1988-524	Förordning (1988:524) med instruktion för samrådsnämnden för kärna vfallsfrågor;
1988:525	1988-06-02	sfs-1988-525	Förordning (1988:525) med instruktion för Kemikalieinspektionen
1988:530	1988-05-26	sfs-1988-530	Förordning (1988:530) om expertgruppen för identifiering vid katastroffall
1988:531	1988-06-02	sfs-1988-531	Förordning (1988:531) med instruktion för Styrelsen för internationell utveckling (SIDA);
1988:532	1988-06-02	sfs-1988-532	Förordning (1988:532) med instruktion för styrelsen för u-landsforskning (SAREC)
1988:533	1988-06-02	sfs-1988-533	Förordning (1988:533) med instruktion för styrelsen för u-landsutbildning i Sandö (Sandö U-centrum);
1988:534	1988-06-02	sfs-1988-534	Djurskyddslag (1988:534)
1988:539	1988-06-02	sfs-1988-539	Djurskyddsförordning (1988:539)
1988:541	1988-06-02	sfs-1988-541	Förordning (1988:541) med instruktion för Centrala försöksdjursnämnden
1988:548	1988-06-02	sfs-1988-548	Förordning (1988:548) om handläggning av ärenden, tjänstetillsättning m. m. inom försvarsmakten
1988:549	1988-06-02	sfs-1988-549	Förordning (1988:549) om överklagande av beslut om anställning inom Försvarsdepartementets verksamhetsområde
1988:550	1988-06-02	sfs-1988-550	Förordning (1988:550) med instruktion för Försvarshögskolan
1988:551	1988-06-02	sfs-1988-551	Förordning (1988:551) med instruktion för nämnden för vapenfriutbildning
1988:552	1988-06-02	sfs-1988-552	Förordning (1988:552) med instruktion för Försvarets underrättelsenämnd
1988:553	1988-06-02	sfs-1988-553	Förordning (1988:553) med instruktion för försvarets fastighetsnämnd;
1988:554	1988-06-02	sfs-1988-554	Förordning (1988:554) med instruktion för flygtekniska försöksanstalten
1988:557	1988-06-02	sfs-1988-557	/r1/ Förordning (1988:557) om hänvisningar till äldre kollektivavtal på det statligt reglerade området;
1988:558	1988-06-02	sfs-1988-558	/r1/ Lag (1988:558) om förbud mot utförsel av krigsmateriel, m. m.;
1988:561	1988-06-02	sfs-1988-561	/r1/ Förordning (1988:561) om förbud mot utförsel av krigsmateriel, m. m.;
1988:563	1988-06-02	sfs-1988-563	Förordning (1988:563) om vad som avses med krigsmateriel i lagen (1971:1078) om försvarsuppfinningar
1988:569	1988-06-02	sfs-1988-569	/r1/ Förordning (1988:569) om skyldighet för myndigheter att lämna underrättelser om vissa föreskrifter m. m.;
1988:57	1988-02-04	sfs-1988-57	Förordning (1988:57) om medelvärde för år 1987 enligt förordningen (1983:944) om statsbidrag till social hemhjälp
1988:570	1988-06-02	sfs-1988-570	Förordning (1988:570) med instruktion för Kommerskollegium
1988:571	1988-07-09	sfs-1988-571	Lag (1988:571) med bemyndigande att upphäva viss förordning;
1988:58	1988-02-04	sfs-1988-58	Förordning (1988:58) om medelvärde för år 1987 enligt förordningen (1983:943) om statsbidrag till kommunal barnomsorg
1988:582	1988-05-26	sfs-1988-582	Förordning (1988:582) om statligt stöd till radio- och kassettidningar
1988:589	1988-05-26	sfs-1988-589	Lag (1988:589) om ersättning m. m. till riksdagens ledamöter
1988:590	1988-06-02	sfs-1988-590	Förordning (1988:590) med instruktion för Boverket
1988:591	1988-06-02	sfs-1988-591	Förordning (1988:591) med instruktion för länsbostadsnämnderna
1988:593	1988-05-05	sfs-1988-593	Lag (1988:593) om dubbelbeskattningsavtal mellan Sverige samt Storbritannien och Nordirland beträffande skatter på kvarlåtenskap, arv och gåva
1988:594	1988-05-26	sfs-1988-594	Fartygssäkerhetsförordning (1988:594)
1988:595	1988-05-26	sfs-1988-595	Förordning (1988:595) om säkerheten på örlogsfartyg
1988:606	1988-06-09	sfs-1988-606	Lag (1988:606) om finansbolag
1988:609	1988-05-26	sfs-1988-609	Lag (1988:609) om målsägandebiträde
1988:61	1987-12-21	sfs-1988-61	/r1/ Förordning (1988:61) med instruktion för konsumentverket;
1988:624	1988-06-09	sfs-1988-624	Förordning (1988:624) med instruktion för koncessionsnämnden för miljöskydd;
1988:626	1988-06-09	sfs-1988-626	Förordning (1988:626) med instruktion för Statens järnvägar
1988:628	1988-06-09	sfs-1988-628	Förordning (1988:628) med instruktion för Statens geotekniska institut
1988:629	1988-06-09	sfs-1988-629	Förordning (1988:629) med instruktion för statens väg- och trafikinstitut;
1988:630	1988-05-26	sfs-1988-630	Förordning (1988:630) med instruktion för Svenskt biografiskt lexikon
1988:641	1988-06-09	sfs-1988-641	/r1/ Förordning (1988:641) om statsbidrag till lagringsutrymmen för stallgödsel;
1988:65	1988-02-11	sfs-1988-65	/r1/ Förordning (1988:65) med instruktion för statens trygghetsnämnd;
1988:653	1988-06-09	sfs-1988-653	Förordning (1988:653) med instruktion för statens förlikningsmannaexpedition
1988:654	1988-06-09	sfs-1988-654	Förordning (1988:654) med instruktion för statens hundskola
1988:655	1988-06-02	sfs-1988-655	Grundskoleförordning (1988:655)
1988:670	1988-06-09	sfs-1988-670	/r1/ Förordning (1988:670) med instruktion för universitets- och högskoleämbetet;
1988:673	1988-05-26	sfs-1988-673	Förordning (1988:673) med instruktion för Presstödsnämnden
1988:674	1988-05-26	sfs-1988-674	Förordning (1988:674) med instruktion för Taltidningsnämnden
1988:675	1988-05-26	sfs-1988-675	/r1/ Förordning (1988:675) med instruktion för statens biografbyrå;
1988:676	1988-06-02	sfs-1988-676	Förordning (1988:676) med instruktion för Statens kulturråd
1988:677	1988-06-02	sfs-1988-677	Förordning (1988:677) med instruktion för Statens konstmuseer
1988:678	1988-06-02	sfs-1988-678	Förordning (1988:678) med instruktion för kungl. biblioteket
1988:679	1988-06-02	sfs-1988-679	Förordning (1988:679) med instruktion för statens psykologisk-pedagogiska bibliotek
1988:680	1988-06-02	sfs-1988-680	/r1/ Förordning (1988:680) med instruktion för utrustningsnämnden för universitet och högskolor;
1988:681	1988-06-09	sfs-1988-681	Förordning (1988:681) om statsbidrag till riksinternatskolor och vissa privatskolor m.m.
1988:682	1988-06-09	sfs-1988-682	Förordning (1988:682) med instruktion för kriminalvårdsnämnden
1988:683	1988-06-09	sfs-1988-683	Förordning (1988:683) med instruktion för övervakningsnämnderna
1988:684	1988-06-09	sfs-1988-684	Förordning (1988:684) med särskilda bestämmelser om bostadslån m.m. för ny- och ombyggnad av ålderdomshem
1988:687	1988-06-02	sfs-1988-687	/r1/ Förordning (1988:687) med instruktion för statens sjöhistoriska museum;
1988:688	1988-05-26	sfs-1988-688	Lag (1988:688) om kontaktförbud
1988:691	1988-05-26	sfs-1988-691	Förordning (1988:691) om kontaktförbud
1988:695	1988-06-09	sfs-1988-695	Lag (1988:695) med anledning av Sveriges tillträde till den europeiska konventionen mot tortyr m.m.
1988:70	1988-02-18	sfs-1988-70	Cirkulär (1988:70) med tabeller för uträkning av arvsskatt och gåvoskatt
1988:700	1988-06-09	sfs-1988-700	/r1/ Förordning (1988:700) om tullfrihet enligt 12 § lagen (1987:1069) om tullfrihet m. m.;
1988:706	1988-06-14	sfs-1988-706	Lag (1988:706) om inbetalning på likviditetskonto under budgetåret 1988/89
1988:707	1988-06-09	sfs-1988-707	Förordning (1988:707) med instruktion för Banverket
1988:708	1988-06-09	sfs-1988-708	Förordning (1988:708) med instruktion för Transportforskningsberedningen;
1988:711	1988-06-14	sfs-1988-711	Lag (1988:711) om befruktning utanför kroppen;
1988:716	1988-06-09	sfs-1988-716	Förordning (1988:716) om CFC och halon m.m.
1988:719	1988-06-09	sfs-1988-719	Förordning (1988:719) om samordning av statlig tjänstepension med egenpension enligt lagen (1988:589) om ersättning m.m. till riksdagens ledamöter;
1988:722	1988-06-09	sfs-1988-722	Förordning (1988:722) om engångsbelopp som svarar mot reservpension
1988:723	1988-06-14	sfs-1988-723	/r1/ Förordning (1988:723) om avgifter för den statliga kontrollen av läkemedel m. m. för tiden den 1 juli 1988--den 30 juni 1989;
1988:730	1988-06-02	sfs-1988-730	Förordning (1988:730) med instruktion för Arbetarskyddsverket
1988:731	1988-06-02	sfs-1988-731	Förordning (1988:731) med instruktion för arbetsmiljöfonden
1988:732	1988-06-02	sfs-1988-732	Förordning (1988:732) med instruktion för Arbetsmiljöinstitutet
1988:734	1988-06-02	sfs-1988-734	Förordning (1988:734) med instruktion för Manne Siegbahninstitutet för fysik;
1988:740	1988-06-14	sfs-1988-740	Förordning (1988:740) om statsbidrag till fristående särskolor;
1988:743	1988-06-09	sfs-1988-743	Förordning (1988:743) med instruktion för Statens konstråd
1988:744	1988-06-09	sfs-1988-744	Förordning (1988:744) med instruktion för Nämnden för utställningar av nutida svensk konst i utlandet
1988:745	1988-06-09	sfs-1988-745	/r1/ Förordning (1988:745) om särskilda insatser för tonsättare och fonogramartister;
1988:762	1988-05-19	sfs-1988-762	Förordning (1988:762) med instruktion för rikspolisstyrelsen
1988:764	1988-06-14	sfs-1988-764	Förordning (1988:764) om statligt stöd till näringslivet
1988:776	1988-06-09	sfs-1988-776	Förordning (1988:776) om försöksverksamhet med statsbidrag till särskilda skogsvårdsinsatser i Västerbottens och Norrbottens län
1988:777	1988-06-14	sfs-1988-777	Lag (1988:777) om avgifter för vissa statliga garantier
1988:778	1988-06-14	sfs-1988-778	Förordning (1988:778) om avgifter för vissa statliga garantier
1988:78	1988-02-25	sfs-1988-78	Förordning (1988:78) med instruktion för Luftfartsverket
1988:782	1988-05-26	sfs-1988-782	Lag (1988:782) om dubbelbeskattningsavtal mellan Sverige och Turkiet
1988:784	1988-06-14	sfs-1988-784	Förordning (1988:784) med instruktion för exekutionsväsendet
1988:786	1988-06-14	sfs-1988-786	Lag (1988:786) om bostadsbidrag;
1988:787	1988-06-14	sfs-1988-787	Bostadsbidragsförordning (1988:787);
1988:79	1988-02-25	sfs-1988-79	Förordning (1988:79) med instruktion för Postverket
1988:80	1988-02-25	sfs-1988-80	Förordning (1988:80) med instruktion för Riksrevisionsverket
1988:803	1988-06-02	sfs-1988-803	/r1/ Förordning (1988:803) om anmälan av särskilda utgivare för radio- och kassettidningar, m. m.;
1988:805	1988-06-14	sfs-1988-805	Förordning (1988:805) om statligt stöd ur energiteknikfonden, m.m.
1988:806	1988-06-14	sfs-1988-806	Förordning (1988:806) om statligt stöd till teknikupphandling
1988:808	1988-06-14	sfs-1988-808	Förordning (1988:808) med instruktion för statens energiverk
1988:809	1988-06-14	sfs-1988-809	Förordning (1988:809) med instruktion för statens elektriska inspektion
1988:810	1988-06-14	sfs-1988-810	Förordning (1988:810) med instruktion för lokala säkerhetsnämnder vid kärntekniska anläggningar
1988:815	1988-06-02	sfs-1988-815	Förordning (1988:815) med instruktion för den statliga skoladministrationen;
1988:816	1988-06-14	sfs-1988-816	Förordning (1988:816) om vuxenutbildning för psykiskt utvecklingsstörda
1988:831	1988-06-14	sfs-1988-831	Förordning (1988:831) med instruktion för Konstnärsnämnden
1988:832	1988-06-14	sfs-1988-832	Förordning (1988:832) med instruktion för skatteförvaltningen
1988:842	1988-06-22	sfs-1988-842	Förordning (1988:842) om ersättning och belöning åt den som hjälper polisen
1988:844	1988-06-22	sfs-1988-844	/r1/ Tillkännagivande (1988:844) om kungörande m. m. i fråga om konventionen den 11 april 1980 angående avtal om internationella köp;
1988:846	1988-06-22	sfs-1988-846	Lag (1988:846) om ungdomsbosparande
1988:847	1988-06-22	sfs-1988-847	Lag (1988:847) om skattelättnader för allemanssparande
1988:849	1988-06-14	sfs-1988-849	/r1/ Förordning (1988:849) om fortbildningsnämnder;
1988:851	1988-06-22	sfs-1988-851	/r1/ Förordning (1988:851) med instruktion för statens vattenfallsverk;
1988:852	1988-06-02	sfs-1988-852	Förordning (1988:852) med instruktion för försvarets personalnämnd
1988:853	1988-06-02	sfs-1988-853	Förordning (1988:853) med instruktion för Styrelsen för psykologiskt försvar
1988:854	1988-05-26	sfs-1988-854	/r1/ Förordning (1988:854) med instruktion för lantbruksstyrelsen och lantbruksnämnderna;
1988:855	1988-05-26	sfs-1988-855	Förordning (1988:855) med instruktion för skogsstyrelsen och skogsvårdsstyrelserna
1988:856	1988-05-26	sfs-1988-856	/r1/ Förordning (1988:856) med instruktion för statens jordbruksnämnd;
1988:857	1988-05-26	sfs-1988-857	Förordning (1988:857) med instruktion för Statens livsmedelsverk
1988:858	1988-05-26	sfs-1988-858	Förordning (1988:858) med instruktion för Statens maskinprovningar
1988:859	1988-05-26	sfs-1988-859	/r1/ Förordning (1988:859) med instruktion för statens lantbrukskemiska laboratorium;
1988:860	1988-05-26	sfs-1988-860	Förordning (1988:860) med instruktion för Statens utsädeskontroll
1988:861	1988-05-26	sfs-1988-861	/r1/ Förordning (1988:861) med instruktion för växtförädlingsnämnden;
1988:862	1988-05-26	sfs-1988-862	Förordning (1988:862) med instruktion för Livsmedelsekonomiska samarbetsnämnden
1988:863	1988-05-26	sfs-1988-863	Förordning (1988:863) med instruktion för fiskeristyrelsen och fiskenämnderna
1988:864	1988-05-26	sfs-1988-864	Förordning (1988:864) med instruktion för statens veterinärmedicinska anstalt
1988:865	1988-05-26	sfs-1988-865	Förordning (1988:865) med instruktion för Statens växtsortnämnd
1988:866	1988-05-26	sfs-1988-866	Förordning (1988:866) med instruktion för skogs- och jordbrukets forskningsråd
1988:868	1988-06-30	sfs-1988-868	Lag (1988:868) om brandfarliga och explosiva varor
1988:870	1988-06-14	sfs-1988-870	Lag (1988:870) om vård av missbrukare i vissa fall
1988:89	1988-03-03	sfs-1988-89	Lag (1988:89) om beslutanderätt för Stiftelsen Lantbrukarnas skördeskadeskydd
1988:890	1988-06-22	sfs-1988-890	Förordning (1988:890) om bilstöd till personer med funktionshinder
1988:893	1988-06-30	sfs-1988-893	Förordning (1988:893) om medelvärde för redovisningsåret 1987/88 enligt förordningen (1986:566) om statsbidrag till lönekostnader för vissa förskolekonsulenter och talpedagoger
1988:895	1988-06-30	sfs-1988-895	Förordning (1988:895) med instruktion för Ombudsmannen mot etnisk diskriminering
1988:903	1988-06-30	sfs-1988-903	Förordning (1988:903) med instruktion för Bostadsdomstolen
1988:909	1988-06-30	sfs-1988-909	/r1/ Förordning (1988:909) med instruktion för besvärsnämnden för rättshjälpen;
1988:91	1988-03-03	sfs-1988-91	/r1/ Förordning (1988:91) om förrättningsavgifter för Aktiebolaget Svensk Bilprovning;
1988:912	1988-05-19	sfs-1988-912	Förordning (1988:912) med instruktion för Datainspektionen
1988:913	1988-06-30	sfs-1988-913	Förordning (1988:913) med instruktion för Kammarkollegiet
1988:922	1988-07-14	sfs-1988-922	Tillkännagivande (1988:922) om befrielse i vissa fall för utländska kärande att ställa säkerhet för rättegångskostnader, m.m.;
1988:93	1987-12-21	sfs-1988-93	Förordning (1988:93) med instruktion för bankinspektionen
1988:930	1988-07-14	sfs-1988-930	Förordning (1988:930) med instruktion för statens institut för byggnadsforskning
1988:931	1988-06-30	sfs-1988-931	Förordning (1988:931) med instruktion för kriminalvårdsverket
1988:932	1988-07-14	sfs-1988-932	Förordning (1988:932) om statsbidrag till handikappanpassning av viss kollektivtrafik;
1988:933	1988-07-14	sfs-1988-933	/r1/ Förordning (1988:933) om statsbidrag till vissa investeringar som rör kollektiv persontrafik;
1988:934	1988-07-14	sfs-1988-934	Förordning (1988:934) om statsbidrag till vissa trafiksignalanläggningar
1988:935	1988-07-28	sfs-1988-935	Förordning (1988:935) om föranmälan och observation av vissa militära övningar
1988:94	1987-12-21	sfs-1988-94	/r1/ Förordning (1988:94) med instruktion för försäkringsinspektionen;
1988:950	1988-06-30	sfs-1988-950	Kulturmiljölag (1988:950)
1988:959	1988-06-30	sfs-1988-959	/r1/ Förordning (1988:959) med instruktion för statskontoret;
1988:964	1988-08-25	sfs-1988-964	Förordning (1988:964) om skyltar för beskickningsfordon
1988:965	1988-08-25	sfs-1988-965	Förordning (1988:965) om personliga fordonsskyltar
1988:969	1988-07-14	sfs-1988-969	Förordning (1988:969) med instruktion för Dialekt- och ortnamnsarkiven samt svenskt visarkiv;
1988:97	1988-02-18	sfs-1988-97	Lag (1988:97) om förfarandet hos kommunerna, förvaltningsmyndigheterna och domstolarna under krig eller krigsfara m.m.
1988:971	1990-06-22	sfs-1988-971	Förordning (1988:971) med länsstyrelseinstruktion
1988:972	1988-06-22	sfs-1988-972	Förordning (1988:972) med instruktion för länsstyrelsen i Norrbottens län
1988:976	1988-09-08	sfs-1988-976	/r2/ Förordning (1988:976) om avgifter för finansinspektionens verksamhet
1988:980	1988-08-25	sfs-1988-980	/r1/ Förordning (1988:980) med instruktion för statens pris- och konkurrensverk;
1988:984	1988-09-08	sfs-1988-984	Förordning (1988:984) med instruktion för brottsskadenämnden
1988:988	1988-09-01	sfs-1988-988	Förordning (1988:988) om dubbelbeskattningsavtal mellan Sverige och Irland
1988:990	1988-09-15	sfs-1988-990	/r1/ Förordning (1988:990) om förrättningsavgifter för Aktiebolaget Svensk Bilprovning;
1989:1	1989-01-02	sfs-1989-1	Statens provningsanstalts kungörelse (1989:1) om skrivmateriel och reproduktionsmetoder som är godkända till vissa slag av handlingar under år 1989
1989:10	1989-01-12	sfs-1989-10	Förordning (1989:10) med instruktion för Rederinämnden
1989:1007	1989-12-13	sfs-1989-1007	Lag (1989:1007) om överenskommelse mellan Sverige, Danmark, Finland, Island och Norge om folkbokföring
1989:1008	1989-12-13	sfs-1989-1008	Förordning (1989:1008) om ränta för år 1990 på vissa statslån till bostadsbyggande m.m.
1989:1015	1989-12-07	sfs-1989-1015	Tillkännagivande (1989:1015) av uppgift om Riksbankens diskonto
1989:102	1989-03-30	sfs-1989-102	Förordning (1989:102) om tillämpning av en överenskommelse den 14 februari 1989 mellan Sverige och Australien om sjukvård åt tillfälliga besökande
1989:1021	1989-12-18	sfs-1989-1021	/r1/ Lag (1989:1021) om särskilda regler för nedskrivning av lager m. m.;
1989:103	1989-03-30	sfs-1989-103	Förordning (1989:103) om medelvärde för redovisningsperioden den 1 juli--31 december 1988 enligt förordningen (1986:566) om statsbidrag till lönekostnader för vissa förskolekonsulenter och talpedagoger
1989:1035	1989-12-18	sfs-1989-1035	Lag (1989:1035) om särskild insamling av uppgifter från bostadsrättsföreningar m.fl.
1989:1042	1989-12-18	sfs-1989-1042	/r1/ Förordning (1989:1042) om basbelopp för år 1990;
1989:1060	1989-12-13	sfs-1989-1060	Förordning (1989:1060) om myndigheters försäljning av överskottsmateriel
1989:1069	1989-12-21	sfs-1989-1069	/r1/ Lag (1989:1069) om tilläggsbelopp till basbeloppet vid beräkning av studiemedel;
1989:1070	1989-12-21	sfs-1989-1070	/r1/ Förordning (1989:1070) om ränta på studielån för år 1990;
1989:1071	1989-12-21	sfs-1989-1071	Förordning (1989:1071) om räntereglering för försäkringsföretag
1989:1073	1989-11-30	sfs-1989-1073	Förordning (1989:1073) med instruktion för Harpsundsnämnden
1989:1074	1989-12-19	sfs-1989-1074	Statistiska centralbyråns kungörelse (1989:1074) om procenttal för ändring av vissa underhållsbidrag
1989:1077	1989-12-21	sfs-1989-1077	/r1/ Förordning (1989:1077) om bidrag för att täcka kostnaderna för försäkringsinspektionens organisation och verksamhet;
1989:1079	1989-12-21	sfs-1989-1079	Lag (1989:1079) om livförsäkringar med anknytning till värdepappersfonder
1989:108	1989-03-16	sfs-1989-108	Förordning (1989:108) med bemyndigande för banverket att pröva vissa frågor om enskilda järnvägar
1989:1096	1989-12-21	sfs-1989-1096	Förordning (1989:1096) om kapitalkravet i banker och andra kreditinstitut
1989:11	1989-01-26	sfs-1989-11	Förordning (1989:11) om stöd till alternativ odling
1989:1110	1989-12-21	sfs-1989-1110	Förordning (1989:1110) om avgift för livsmedelstillsyn m. m.
1989:1111	1989-12-22	sfs-1989-1111	Försäkringsinspektionens Kungörelse (1989:1111) om ändring av vissa skadelivräntor
1989:12	1989-01-26	sfs-1989-12	Förordning (1989:12) om statsbidrag till miljöförbättrande åtgärder i jordbruket;
1989:139	1989-04-20	sfs-1989-139	Tillkännagivande (1989:139) om befrielse i vissa fall för utländska kärande att ställa säkerhet för rättegångskostnader, m.m.;
1989:14	1989-01-12	sfs-1989-14	Lag (1989:14) om erkännande och verkställighet av utländska vårdnadsavgöranden m.m. och om överflyttning av barn
1989:142	1989-04-20	sfs-1989-142	/r1/ Förordning (1989:142) om tillämpning av en överenskommelse mellan Sverige och Polen om sjukvårdsförmåner;
1989:149	1989-04-06	sfs-1989-149	Förordning (1989:149) om bevakningsföretag m.m.
1989:152	1989-04-13	sfs-1989-152	Lag (1989:152) om underrättelseskyldighet m.m. när utlänningar är berövade friheten
1989:164	1989-04-27	sfs-1989-164	Lag (1989:164) om kontroll genom teknisk provning och om mätning
1989:166	1989-04-27	sfs-1989-166	Förordning (1989:166) om inrättandet av tjänster
1989:170	1989-04-27	sfs-1989-170	Förordning (1989:170) om sommartid
1989:175	1989-04-20	sfs-1989-175	/r1/ Tillkännagivande (1989:175) om kungörande m. m. i fråga om konventionen den 25 oktober 1980 om de civila aspekterna på internationella bortföranden av barn;
1989:176	1989-04-20	sfs-1989-176	Tillkännagivande (1989:176) om kungörande m. m. i fråga om konventionen den 20 maj 1980 om erkännande och verkställighet av avgöranden rörande vårdnad om barn samt om återställande av vård av barn;
1989:177	1989-04-20	sfs-1989-177	Förordning (1989:177) om erkännande och verkställighet av utländska vårdnadsavgöranden m.m. och om överflyttning av barn
1989:181	1989-04-27	sfs-1989-181	Förordning (1989:181) om protokoll mellan Sverige och Finland om ersättning för bortfall av kommunalskatt i vissa fall
1989:184	1989-04-27	sfs-1989-184	Tillkännagivande (1989:184) av uppgift om Riksbankens diskonto
1989:185	1989-05-03	sfs-1989-185	Lag (1989:185) om arvoden m.m. för uppdrag inom riksdagen, dess myndigheter och organ
1989:186	1989-05-11	sfs-1989-186	Lag (1989:186) om överklagande av administrativa beslut av Riksdagsförvaltningen och riksdagens myndigheter
